antecedent,consequent,support_A,support_itemset,confidence
{'Organic Zucchini'},{'Organic Baby Spinach'},0.03273946418897509,0.0066337534369793425,0.20262254136746802
{'Organic Baby Spinach'},{'Cucumber Kirby'},0.0753222327844388,0.005059642451933397,0.06717329352693716
{'Cucumber Kirby'},{'Organic Baby Spinach'},0.029693457217912157,0.005059642451933397,0.1703958691910499
{'Strawberry'},{'YoKids Squeezers Organic Low-Fat Yogurt'},0.012020483885805403,0.006367994439504053,0.5297619047619048
{'YoKids Squeezers Organic Low-Fat Yogurt'},{'Strawberry'},0.006367994439504053,0.006367994439504053,1.0
{'Original Hummus'},{'Banana'},0.021833123792585323,0.005703596945815829,0.2612359550561798
{'Banana'},{'Original Hummus'},0.14871260208723028,0.005703596945815829,0.038353151419341536
{'Organic Lemon'},{'Bag of Organic Bananas'},0.027792258235973546,0.007615017427657335,0.27399779330636265
{'Bag of Organic Bananas'},{'Organic Lemon'},0.11953021986446291,0.007615017427657335,0.06370788438515479
{'Organic Lemon'},{'Organic Hass Avocado'},0.027792258235973546,0.007022170433289381,0.2526664214784847
{'Organic Hass Avocado'},{'Organic Lemon'},0.06553003587746466,0.007022170433289381,0.10715956948993918
{'Organic Garlic'},{'Banana'},0.03362873468052702,0.006173785941349034,0.18358662613981766
{'Banana'},{'Organic Garlic'},0.14871260208723028,0.006173785941349034,0.04151488074781772
{'Organic Garlic'},{'Organic Yellow Onion'},0.03362873468052702,0.0066337534369793425,0.19726443768996962
{'Organic Yellow Onion'},{'Organic Garlic'},0.03434423967372972,0.0066337534369793425,0.1931547619047619
{'Organic Garlic'},{'Bag of Organic Bananas'},0.03362873468052702,0.007022170433289381,0.20881458966565353
{'Bag of Organic Bananas'},{'Organic Garlic'},0.11953021986446291,0.007022170433289381,0.05874807593637763
{'Organic Garlic'},{'Organic Strawberries'},0.03362873468052702,0.005100528451544979,0.15167173252279637
{'Organic Strawberries'},{'Organic Garlic'},0.08259994071530057,0.005100528451544979,0.06174978344264323
{'Organic Garlic'},{'Organic Hass Avocado'},0.03362873468052702,0.005632046446495558,0.16747720364741642
{'Organic Hass Avocado'},{'Organic Garlic'},0.06553003587746466,0.005632046446495558,0.08594603026048978
{'Banana'},{'Organic Yellow Onion'},0.14871260208723028,0.005120971451350771,0.034435356381881915
{'Organic Yellow Onion'},{'Banana'},0.03434423967372972,0.005120971451350771,0.14910714285714285
{'Banana'},{'Limes'},0.14871260208723028,0.009628652908527798,0.06474671798749056
{'Limes'},{'Banana'},0.04318583708973455,0.009628652908527798,0.2229585798816568
{'Banana'},{'Strawberries'},0.14871260208723028,0.012827982378134168,0.08626022407038285
{'Strawberries'},{'Banana'},0.044361309578567557,0.012827982378134168,0.28917050691244245
{'Banana'},{'Organic Blueberries'},0.14871260208723028,0.005856919444359265,0.03938415011340986
{'Organic Blueberries'},{'Banana'},0.0317582001982971,0.005856919444359265,0.18442227228838104
{'Banana'},{'Organic Baby Carrots'},0.14871260208723028,0.005264072449991311,0.03539762182967902
{'Organic Baby Carrots'},{'Banana'},0.024000081771999224,0.005264072449991311,0.219335604770017
{'Banana'},{'Blueberries'},0.14871260208723028,0.00543783794834054,0.03656608701628978
{'Blueberries'},{'Banana'},0.017979618329193627,0.00543783794834054,0.3024445707788516
{'Banana'},{'Organic Fuji Apple'},0.14871260208723028,0.010190835403187064,0.06852704653240772
{'Organic Fuji Apple'},{'Banana'},0.02751627773859536,0.010190835403187064,0.37035661218424965
{'Banana'},{'Large Lemon'},0.14871260208723028,0.012858646877842855,0.08646642380919652
{'Large Lemon'},{'Banana'},0.04791839154477528,0.012858646877842855,0.26834470989761094
{'Banana'},{'Apple Honeycrisp Organic'},0.14871260208723028,0.005642267946398455,0.03794075194171421
{'Apple Honeycrisp Organic'},{'Banana'},0.02636124824956814,0.005642267946398455,0.2140364482357503
{'Banana'},{'Organic Gala Apples'},0.14871260208723028,0.005468502448049227,0.036772286755103446
{'Organic Gala Apples'},{'Banana'},0.024664479265687447,0.005468502448049227,0.22171570658930792
{'Banana'},{'Organic Whole Milk'},0.14871260208723028,0.009516216409595945,0.06399065227850712
{'Organic Whole Milk'},{'Banana'},0.041795713102940724,0.009516216409595945,0.22768403032526294
{'Banana'},{'Organic Grape Tomatoes'},0.14871260208723028,0.005754704445330308,0.03869681765069764
{'Organic Grape Tomatoes'},{'Banana'},0.026095489252092853,0.005754704445330308,0.22052487269878573
{'Banana'},{'Organic Strawberries'},0.14871260208723028,0.018296484826183394,0.12303251082548629
{'Organic Strawberries'},{'Banana'},0.08259994071530057,0.018296484826183394,0.22150723920306892
{'Banana'},{'Organic Raspberries'},0.14871260208723028,0.0068892909345517365,0.04632620798680322
{'Organic Raspberries'},{'Banana'},0.04256232559565791,0.0068892909345517365,0.16186359269932757
{'Banana'},{'Organic Hass Avocado'},0.14871260208723028,0.010313493402021813,0.06935184548766239
{'Organic Hass Avocado'},{'Banana'},0.06553003587746466,0.010313493402021813,0.15738574325378257
{'Banana'},{'Yellow Onions'},0.14871260208723028,0.006623531937076447,0.04453914358375147
{'Yellow Onions'},{'Banana'},0.022436192286856175,0.006623531937076447,0.29521640091116175
{'Banana'},{'Organic Avocado'},0.14871260208723028,0.016701930841331657,0.11231012440717575
{'Organic Avocado'},{'Banana'},0.05430682898408513,0.016701930841331657,0.30754752493882925
{'Banana'},{'Seedless Red Grapes'},0.14871260208723028,0.007788782926006562,0.0523747336586707
{'Seedless Red Grapes'},{'Banana'},0.025758179755297293,0.007788782926006562,0.30238095238095236
{'Banana'},{'Organic Zucchini'},0.14871260208723028,0.006204450441057721,0.04172108048663139
{'Organic Zucchini'},{'Banana'},0.03273946418897509,0.006204450441057721,0.189509834530128
{'Banana'},{'Cucumber Kirby'},0.14871260208723028,0.009894411906003087,0.0665337823905423
{'Cucumber Kirby'},{'Banana'},0.029693457217912157,0.009894411906003087,0.3332185886402754
{'Organic Small Bunch Celery'},{'Bag of Organic Bananas'},0.021925117291711385,0.005090306951642084,0.23216783216783218
{'Bag of Organic Bananas'},{'Organic Small Bunch Celery'},0.11953021986446291,0.005090306951642084,0.04258594150846588
{'Organic Yellow Onion'},{'Bag of Organic Bananas'},0.03434423967372972,0.0074208089295023155,0.21607142857142858
{'Bag of Organic Bananas'},{'Organic Yellow Onion'},0.11953021986446291,0.0074208089295023155,0.06208311954848641
{'Organic Yellow Onion'},{'Organic Hass Avocado'},0.03434423967372972,0.0058466979444563695,0.17023809523809524
{'Organic Hass Avocado'},{'Organic Yellow Onion'},0.06553003587746466,0.0058466979444563695,0.08922165028856653
{'Limes'},{'Bag of Organic Bananas'},0.04318583708973455,0.006235114940766408,0.14437869822485205
{'Bag of Organic Bananas'},{'Limes'},0.11953021986446291,0.006235114940766408,0.05216350265093211
{'Limes'},{'Organic Cilantro'},0.04318583708973455,0.005529831447466601,0.1280473372781065
{'Organic Cilantro'},{'Limes'},0.021465149796081075,0.005529831447466601,0.25761904761904764
{'Limes'},{'Large Lemon'},0.04318583708973455,0.00858605991843243,0.19881656804733727
{'Large Lemon'},{'Limes'},0.04791839154477528,0.00858605991843243,0.17918088737201365
{'Limes'},{'Organic Strawberries'},0.04318583708973455,0.005785368945038995,0.1339644970414201
{'Organic Strawberries'},{'Limes'},0.08259994071530057,0.005785368945038995,0.0700408365301324
{'Limes'},{'Organic Hass Avocado'},0.04318583708973455,0.0059386914435824315,0.13751479289940827
{'Organic Hass Avocado'},{'Limes'},0.06553003587746466,0.0059386914435824315,0.09062548744345657
{'Limes'},{'Organic Avocado'},0.04318583708973455,0.006960841433872007,0.16118343195266271
{'Organic Avocado'},{'Limes'},0.05430682898408513,0.006960841433872007,0.1281761716544325
{'Organic Cucumber'},{'Bag of Organic Bananas'},0.025339098259278568,0.006695082436396717,0.26421944332392094
{'Bag of Organic Bananas'},{'Organic Cucumber'},0.11953021986446291,0.006695082436396717,0.056011629895672994
{'Organic Cucumber'},{'Organic Strawberries'},0.025339098259278568,0.005192521950671041,0.20492133924969744
{'Organic Strawberries'},{'Organic Cucumber'},0.08259994071530057,0.005192521950671041,0.06286350699170894
{'Organic Cucumber'},{'Organic Hass Avocado'},0.025339098259278568,0.0054071734486318525,0.2133924969745865
{'Organic Hass Avocado'},{'Organic Cucumber'},0.06553003587746466,0.0054071734486318525,0.08251442832631416
{'Strawberries'},{'Bag of Organic Bananas'},0.044361309578567557,0.005764925945233204,0.12995391705069126
{'Bag of Organic Bananas'},{'Strawberries'},0.11953021986446291,0.005764925945233204,0.04822986146741919
{'Organic Blueberries'},{'Bag of Organic Bananas'},0.0317582001982971,0.007001727433483589,0.22046990666237526
{'Bag of Organic Bananas'},{'Organic Blueberries'},0.11953021986446291,0.007001727433483589,0.05857704805883359
{'Organic Blueberries'},{'Organic Strawberries'},0.0317582001982971,0.007318593930473358,0.23044737689089154
{'Organic Strawberries'},{'Organic Blueberries'},0.08259994071530057,0.007318593930473358,0.08860289568122758
{'Clementines'},{'Bag'},0.02186378829229401,0.012429343881921233,0.5684899485741001
{'Bag'},{'Clementines'},0.014320321363956947,0.012429343881921233,0.8679514632405425
{'Organic'},{'Bag of Organic Bananas'},0.023202804779573354,0.005110749951447876,0.22026431718061676
{'Bag of Organic Bananas'},{'Organic'},0.11953021986446291,0.005110749951447876,0.042756969386009924
{'Organic'},{'Milk'},0.023202804779573354,0.007339036930279149,0.3162995594713656
{'Milk'},{'Organic'},0.013001747876483396,0.007339036930279149,0.5644654088050314
{'Organic'},{'Vitamin D'},0.023202804779573354,0.006459987938630115,0.2784140969162996
{'Vitamin D'},{'Organic'},0.009230014412314863,0.006459987938630115,0.699889258028793
{'Bag of Organic Bananas'},{'Large Lemon'},0.11953021986446291,0.006153342941543242,0.05147939114075594
{'Large Lemon'},{'Bag of Organic Bananas'},0.04791839154477528,0.006153342941543242,0.12841296928327645
{'Bag of Organic Bananas'},{'Apple Honeycrisp Organic'},0.11953021986446291,0.007277707930861774,0.060885924405678124
{'Apple Honeycrisp Organic'},{'Bag of Organic Bananas'},0.02636124824956814,0.007277707930861774,0.27607599844901126
{'Bag of Organic Bananas'},{'Organic Gala Apples'},0.11953021986446291,0.00680751893532857,0.05695228322216521
{'Organic Gala Apples'},{'Bag of Organic Bananas'},0.024664479265687447,0.00680751893532857,0.2760049730625777
{'Bag of Organic Bananas'},{'Organic Whole Milk'},0.11953021986446291,0.008494066419306369,0.07106208311954848
{'Organic Whole Milk'},{'Bag of Organic Bananas'},0.041795713102940724,0.008494066419306369,0.20322817314746883
{'Bag of Organic Bananas'},{'Organic Grape Tomatoes'},0.11953021986446291,0.005264072449991311,0.044039678467590215
{'Organic Grape Tomatoes'},{'Bag of Organic Bananas'},0.026095489252092853,0.005264072449991311,0.20172346259302779
{'Bag of Organic Bananas'},{'Organic Strawberries'},0.11953021986446291,0.019257305817055596,0.1611082606464854
{'Organic Strawberries'},{'Bag of Organic Bananas'},0.08259994071530057,0.019257305817055596,0.23313946293775523
{'Bag of Organic Bananas'},{'Organic Raspberries'},0.11953021986446291,0.012899532877454437,0.10791859073028903
{'Organic Raspberries'},{'Bag of Organic Bananas'},0.04256232559565791,0.012899532877454437,0.303073967339097
{'Bag of Organic Bananas'},{'Organic Hass Avocado'},0.11953021986446291,0.01922664131734691,0.16085171883016933
{'Organic Hass Avocado'},{'Bag of Organic Bananas'},0.06553003587746466,0.01922664131734691,0.29340196537201685
{'Bag of Organic Bananas'},{'Organic Large Extra Fancy Fuji Apple'},0.11953021986446291,0.0073288154303762535,0.06131349409953823
{'Organic Large Extra Fancy Fuji Apple'},{'Bag of Organic Bananas'},0.023223247779379147,0.0073288154303762535,0.31558098591549294
{'Bag of Organic Bananas'},{'Organic Avocado'},0.11953021986446291,0.007032391933192277,0.05883358987514965
{'Organic Avocado'},{'Bag of Organic Bananas'},0.05430682898408513,0.007032391933192277,0.12949369471108602
{'Bag of Organic Bananas'},{'Organic Zucchini'},0.11953021986446291,0.007114163932415442,0.059517701385325805
{'Organic Zucchini'},{'Bag of Organic Bananas'},0.03273946418897509,0.007114163932415442,0.21729628473306276
{'Large Lemon'},{'Organic Avocado'},0.04791839154477528,0.008044320423578956,0.1678754266211604
{'Organic Avocado'},{'Large Lemon'},0.05430682898408513,0.008044320423578956,0.1481272350837568
{'Apple Honeycrisp Organic'},{'Organic Strawberries'},0.02636124824956814,0.005223186450379729,0.19813881349360218
{'Organic Strawberries'},{'Apple Honeycrisp Organic'},0.08259994071530057,0.005223186450379729,0.06323474817473085
{'Organic Whole Milk'},{'Organic Strawberries'},0.041795713102940724,0.007359479930084941,0.1760821716801174
{'Organic Strawberries'},{'Organic Whole Milk'},0.08259994071530057,0.007359479930084941,0.08909788392525678
{'Milk'},{'Vitamin D'},0.013001747876483396,0.008923369415227991,0.6863207547169812
{'Vitamin D'},{'Milk'},0.009230014412314863,0.008923369415227991,0.9667774086378739
{'Organic Strawberries'},{'Organic Raspberries'},0.08259994071530057,0.010109063403963899,0.12238584333622077
{'Organic Raspberries'},{'Organic Strawberries'},0.04256232559565791,0.010109063403963899,0.23751200768491834
{'Organic Strawberries'},{'Organic Hass Avocado'},0.08259994071530057,0.012306685883086484,0.1489914614527905
{'Organic Hass Avocado'},{'Organic Strawberries'},0.06553003587746466,0.012306685883086484,0.1878022149430666
{'Organic Strawberries'},{'Organic Avocado'},0.08259994071530057,0.007471916429016794,0.09045910159633708
{'Organic Avocado'},{'Organic Strawberries'},0.05430682898408513,0.007471916429016794,0.1375870506305289
{'Organic Raspberries'},{'Organic Hass Avocado'},0.04256232559565791,0.007850111925423937,0.1844380403458213
{'Organic Hass Avocado'},{'Organic Raspberries'},0.06553003587746466,0.007850111925423937,0.11979410388394947
{'Organic Hass Avocado'},{'Organic Zucchini'},0.06553003587746466,0.005274293949894208,0.08048666354702855
{'Organic Zucchini'},{'Organic Hass Avocado'},0.03273946418897509,0.005274293949894208,0.16109896971589138
{'Vitamin D'},"{'Organic', 'Milk'}",0.009230014412314863,0.006459987938630115,0.699889258028793
{'Organic'},"{'Milk', 'Vitamin D'}",0.023202804779573354,0.006459987938630115,0.2784140969162996
{'Milk'},"{'Organic', 'Vitamin D'}",0.013001747876483396,0.006459987938630115,0.4968553459119497
"{'Organic', 'Vitamin D'}",{'Milk'},0.006459987938630115,0.006459987938630115,1.0
"{'Milk', 'Vitamin D'}",{'Organic'},0.008923369415227991,0.006459987938630115,0.7239404352806414
"{'Organic', 'Milk'}",{'Vitamin D'},0.007339036930279149,0.006459987938630115,0.8802228412256268
